name,rank,move,country,age,points,tournaments
Simona Halep,1,0,ROU,26,8140,18
Caroline Wozniacki,2,0,DEN,27,6790,21
Garbiñe Muguruza,3,0,ESP,24,6065,23
Elina Svitolina,4,0,UKR,23,5630,18
Jelena Ostapenko,5,0,LAT,20,5307,21
Karolina Pliskova,6,0,CZE,26,4730,20
Caroline Garcia,7,0,FRA,24,4615,23
Venus Williams,8,0,USA,37,4276,14
Sloane Stephens,9,0,USA,25,3938,13
Petra Kvitova,10,0,CZE,28,3271,19
Julia Goerges,11,0,GER,29,2980,24
Angelique Kerber,12,0,GER,30,2971,20
Madison Keys,13,0,USA,23,2722,17
Daria Kasatkina,14,0,RUS,20,2570,22
Anastasija Sevastova,15,0,LAT,28,2545,24
Coco Vandeweghe,16,0,USA,26,2488,17
Elise Mertens,17,0,BEL,22,2420,25
Magdalena Rybarikova,18,0,SVK,29,2350,23
Ashleigh Barty,19,0,AUS,21,2318,18
Kristina Mladenovic,20,0,FRA,24,2280,29
Kiki Bertens,21,0,NED,26,2135,26
Naomi Osaka,22,0,JPN,20,2105,24
Johanna Konta,23,0,GBR,26,1995,22
Daria Gavrilova,24,0,AUS,24,1925,23
Carla Suárez Navarro,25,0,ESP,29,1910,24
Barbora Strycova,26,0,CZE,32,1765,24
Anastasia Pavlyuchenkova,27,0,RUS,26,1700,24
Svetlana Kuznetsova,28,0,RUS,32,1613,15
Agnieszka Radwanska,29,0,POL,29,1525,20
Shuai Zhang,30,0,CHN,29,1500,29
Anett Kontaveit,31,0,EST,22,1475,23
Ekaterina Makarova,32,0,RUS,29,1380,21
Dominika Cibulkova,33,0,SVK,28,1380,21
Sorana Cirstea,34,0,ROU,28,1355,24
Alizé Cornet,35,0,FRA,28,1355,28
Petra Martic,36,△1,CRO,27,1273,13
Irina-Camelia Begu,37,△1,ROU,27,1270,27
Timea Babos,38,△1,HUN,24,1270,27
Mihaela Buzarnescu,39,△1,ROU,29,1263,31
Lesia Tsurenko,40,△1,UKR,28,1260,27
Maria Sharapova,41,△1,RUS,31,1257,13
Shuai Peng,42,▽6,CHN,32,1255,23
Elena Vesnina,43,0,RUS,31,1175,24
Catherine Bellis,44,0,USA,19,1175,20
Danielle Collins,45,0,USA,24,1137,27
Timea Bacsinszky,46,0,SUI,28,1132,12
Aryna Sabalenka,47,0,BLR,19,1128,23
Maria Sakkari,48,△1,GRE,22,1117,25
Alison Van Uytvanck,49,△1,BEL,24,1116,22
Lucie Safarova,50,△1,CZE,31,1088,18
Katerina Siniakova,51,△1,CZE,21,1075,25
Zarina Diyas,52,▽4,KAZ,24,1075,22
Aleksandra Krunic,53,0,SRB,25,1075,22
Donna Vekic,54,0,CRO,21,1060,25
Aliaksandra Sasnovich,55,△1,BLR,24,1018,22
Carina Witthoeft,56,△1,GER,23,993,24
Samantha Stosur,57,△1,AUS,34,992,22
Camila Giorgi,58,△1,ITA,26,986,19
Su-Wei Hsieh,59,△1,TPE,32,975,29
Tatjana Maria,60,△1,GER,30,960,33
Kaia Kanepi,61,△1,EST,32,957,12
Beatriz Haddad Maia,62,△1,BRA,21,948,22
Monica Niculescu,63,△1,ROU,30,926,23
Qiang Wang,64,▽9,CHN,26,925,20
Mona Barthel,65,0,GER,27,904,25
Ana Bogdan,66,0,ROU,25,902,24
Monica Puig,67,0,PUR,24,895,21
Kateryna Kozlova,68,0,UKR,24,894,24
Magda Linette,69,0,POL,26,865,27
Kirsten Flipkens,70,0,BEL,32,846,23
Belinda Bencic,71,0,SUI,21,844,11
Kristyna Pliskova,72,0,CZE,26,825,26
Marketa Vondrousova,73,0,CZE,18,822,17
Varvara Lepchenko,74,0,USA,31,815,25
Polona Hercog,75,0,SLO,27,789,23
Sachia Vickery,76,0,USA,22,784,29
Heather Watson,77,0,GBR,25,782,25
Kateryna Bondarenko,78,0,UKR,31,775,24
Lara Arruabarrena,79,0,ESP,26,772,26
Madison Brengle,80,0,USA,28,767,25
Johanna Larsson,81,0,SWE,29,765,26
Natalia Vikhlyantseva,82,0,RUS,21,764,27
Yulia Putintseva,83,0,KAZ,23,760,26
Anna Karolina Schmiedlova,84,0,SVK,23,748,27
Jennifer Brady,85,0,USA,23,746,25
Yafan Wang,86,△12,CHN,23,745,21
Veronica Cepede Royg,87,▽1,PAR,26,738,21
Christina Mchale,88,0,USA,25,730,31
Sofia Kenin,89,▽2,USA,19,725,28
Ana Konjuh,90,▽1,CRO,20,718,17
Taylor Townsend,91,△17,USA,22,718,24
Luksika Kumkhum,92,▽2,THA,24,718,19
Sara Errani,93,▽2,ITA,30,715,21
Alison Riske,94,▽1,USA,27,710,27
Ajla Tomljanovic,95,▽1,AUS,24,700,25
Bernarda Pera,96,▽4,USA,23,697,22
Victoria Azarenka,97,▽2,BLR,28,695,5
Yanina Wickmayer,98,△9,BEL,28,658,25
Stefanie Voegele,99,▽3,SUI,28,658,19
Laura Siegemund,100,▽3,GER,30,656,12
Ekaterina Alexandrova,101,▽2,RUS,23,649,23
Kurumi Nara,102,▽2,JPN,26,647,32
Denisa Allertova,103,▽2,CZE,25,642,18
Oceane Dodin,104,▽2,FRA,21,642,22
Andrea Petkovic,105,▽2,GER,30,638,25
Shelby Rogers,106,▽1,USA,25,619,16
Viktoria Kuzmova,107,▽1,SVK,19,619,28
Jana Fett,108,△1,CRO,21,603,28
Yingying Duan,109,▽5,CHN,28,596,25
Richel Hogenkamp,110,0,NED,26,596,29
Vera Lapko,111,0,BLR,19,592,25
Mariana Duque-Mariño,112,△13,COL,28,590,25
Rebecca Peterson,113,▽1,SWE,22,585,22
Anna Blinkova,114,▽1,RUS,19,583,27
Viktorija Golubic,115,0,SUI,25,575,24
Jana Cepelova,116,0,SVK,24,566,32
Eugenie Bouchard,117,0,CAN,24,565,19
Evgeniya Rodina,118,0,RUS,29,560,34
Nicole Gibbs,119,0,USA,25,559,25
Caroline Dolehide,120,0,USA,19,550,24
Danka Kovinic,121,0,MNE,23,550,31
Pauline Parmentier,122,0,FRA,32,544,30
Arantxa Rus,123,0,NED,27,542,27
Saisai Zheng,124,△15,CHN,24,536,13
Lin Zhu,125,△4,CHN,24,530,22
Lauren Davis,126,0,USA,24,511,23
Kristie Ahn,127,▽13,USA,25,509,26
Francoise Abanda,128,▽1,CAN,21,506,19
Nao Hibino,129,▽5,JPN,23,501,31
Dalila Jakupovic,130,0,SLO,27,498,31
Arina Rodionova,131,0,AUS,28,493,31
Sara Sorribes Tormo,132,0,ESP,21,485,26
Ysaline Bonaventure,133,0,BEL,23,475,27
Naomi Broady,134,0,GBR,28,474,30
Sofya Zhuk,135,▽7,RUS,18,473,19
Tamara Zidansek,136,△7,SLO,20,461,21
Jil Teichmann,137,▽2,SUI,20,452,28
Carol Zhao,138,▽2,CAN,22,451,30
Miyu Kato,139,▽2,JPN,23,448,25
Magdalena Frech,140,0,POL,20,421,25
Barbora Krejcikova,141,0,CZE,22,414,19
Tamara Korpatsch,142,0,GER,22,414,27
Vera Zvonareva,143,△1,RUS,33,412,17
Jasmine Paolini,144,△1,ITA,22,408,30
Anna Kalinskaya,145,△2,RUS,19,404,25
Georgina Garcia Perez,146,0,ESP,25,401,20
Patty Schnyder,147,△2,SUI,39,398,23
Olivia Rogowska,148,△4,AUS,26,393,22
Ons Jabeur,149,▽1,TUN,23,391,22
Xinyun Han,150,△23,CHN,27,391,28
Anhelina Kalinina,151,▽1,UKR,21,391,21
Mirjana Lucic-Baroni,152,△1,CRO,36,390,16
Maryna Zanevska,153,△1,BEL,24,390,25
Amanda Anisimova,154,▽16,USA,16,388,13
Antonia Lottner,155,0,GER,21,388,22
Irina Bara,156,▽5,ROU,23,386,30
Lizette Cabrera,157,△2,AUS,20,383,32
Marta Kostyuk,158,▽2,UKR,15,381,9
Francesca Schiavone,159,▽2,ITA,37,381,15
Tereza Martincova,160,▽2,CZE,23,375,29
Sabine Lisicki,161,▽1,GER,28,372,11
Dayana Yastremska,162,▽1,UKR,17,371,17
Jamie Loeb,163,0,USA,23,370,26
Cagla Buyukakcay,164,▽2,TUR,28,369,26
Viktoriya Tomova,165,▽1,BUL,23,367,27
Misaki Doi,166,▽1,JPN,26,365,23
Irina Falconi,167,▽1,USA,27,362,18
Marie Bouzkova,168,▽1,CZE,19,361,26
Roberta Vinci,169,▽1,ITA,35,359,18
Alexandra Cadantu,170,0,ROU,27,359,25
Deborah Chiesa,171,△1,ITA,21,357,29
Valentyna Ivakhnenko,172,△14,RUS,24,353,25
Vitalia Diatchenko,173,△1,RUS,27,352,19
Daniela Seguel,174,△1,CHI,25,351,24
Valentini Grammatikopoulou,175,▽4,GRE,21,348,27
Su Jeong Jang,176,▽7,KOR,23,345,26
Gabriella Taylor,177,0,GBR,20,341,20
Alexandra Dulgheru,178,△1,ROU,28,331,22
Fangzhou Liu,179,▽3,CHN,22,329,24
Eri Hozumi,180,0,JPN,24,329,32
Claire Liu,181,0,USA,17,327,20
Kathinka Von Deichmann,182,0,LIE,23,327,31
Kayla Day,183,0,USA,18,322,25
Jing-Jing Lu,184,▽6,CHN,28,322,24
Myrtille Georges,185,△6,FRA,27,320,26
Sabina Sharipova,186,▽2,UZB,23,317,24
Conny Perrin,187,▽2,SUI,27,310,29
Destanee Aiava,188,△24,AUS,17,308,17
Priscilla Hon,189,▽2,AUS,19,304,28
Elitsa Kostova,190,▽2,BUL,28,297,33
Basak Eraydin,191,▽1,TUR,23,293,24
Barbara Haas,192,▽3,AUT,22,292,24
Veronika Kudermetova,193,▽1,RUS,20,290,26
Miharu Imanishi,194,△1,JPN,25,288,30
Ankita Raina,195,▽1,IND,25,288,27
Polina Monova,196,▽3,RUS,25,287,25
Katie Boulter,197,▽1,GBR,21,285,24
Francesca Di Lorenzo,198,△37,USA,20,282,22
Bibiane Schoofs,199,△9,NED,29,280,30
Julia Grabher,200,0,AUT,21,280,27
Bianca Andreescu,201,▽4,CAN,17,276,20
Sesil Karatantcheva,202,△34,BUL,28,276,21
Renata Zarazua,203,▽4,MEX,20,275,25
Bethanie Mattek-Sands,204,▽3,USA,33,273,7
Martina Trevisan,205,▽3,ITA,24,271,17
Junri Namigata,206,▽1,JPN,35,271,28
Karolina Muchova,207,▽9,CZE,21,268,16
Amandine Hesse,208,▽4,FRA,25,267,22
Lesley Kerkhove,209,△1,NED,26,260,26
Jia-Jing Lu,210,△24,CHN,28,260,26
Tsvetana Pironkova,211,0,BUL,30,259,7
Sílvia Soler-Espinosa,212,△10,ESP,30,259,28
Irina Khromacheva,213,0,RUS,22,259,25
Paula Badosa Gibert,214,▽5,ESP,20,258,22
Danielle Lao,215,△26,USA,26,257,23
Jessica Pieri,216,▽2,ITA,20,257,25
Elena Rybakina,217,▽2,RUS,18,255,9
Ipek Soylu,218,▽1,TUR,22,252,24
Olga Ianchuk,219,▽1,UKR,23,252,26
Grace Min,220,▽1,USA,23,251,22
Elena-Gabriela Ruse,221,▽1,ROU,20,250,22
Laura Robson,222,▽1,GBR,24,249,25
Jaqueline Cristian,223,▽20,ROU,19,249,24
Tereza Mrdeza,224,▽1,CRO,27,244,31
Harriet Dart,225,0,GBR,21,243,27
Ayla Aksu,226,0,TUR,21,243,24
Victoria Duval,227,0,USA,22,242,20
Katy Dunne,228,0,GBR,23,242,28
Tereza Smitkova,229,△1,CZE,23,241,25
Chantal Skamlova,230,△1,SVK,24,241,26
Xinyu Gao,231,▽7,CHN,20,240,21
Fanny Stollar,232,▽16,HUN,19,239,27
Ayano Shimizu,233,△4,JPN,20,238,33
Chiara Scholl,234,▽1,USA,25,237,24
Peangtarn Plipuech,235,▽3,THA,25,236,22
Louisa Chirico,236,△9,USA,21,234,24
Jessika Ponchet,237,△2,FRA,21,231,27
Jacqueline Cako,238,0,USA,26,229,28
Michaela Honcova,239,▽10,SVK,25,229,29
Elizaveta Kulichkova,240,△2,RUS,22,228,11
Ivana Jorovic,241,△45,SRB,20,221,21
Anastasia Potapova,242,△2,RUS,17,221,15
María-Teresa Torró-Flor,243,△3,ESP,25,221,24
Mayo Hibi,244,△3,JPN,22,220,23
Ulrikke Eikeri,245,▽39,NOR,25,219,30
Andrea Gamiz,246,△2,VEN,25,216,27
Dejana Radanovic,247,△2,SRB,21,216,25
Julia Boserup,248,△2,USA,26,215,23
Chloe Paquet,249,△26,FRA,23,214,26
Victoria Kamenskaya,250,△1,RUS,26,214,21
Georgia Brescia,251,▽44,ITA,22,214,23
Isabelle Wallace,252,△2,AUS,21,213,28
Sherazad Reix,253,△3,FRA,29,213,28
Ellen Perez,254,▽2,AUS,22,212,19
Olga Danilovic,255,▽2,SRB,17,211,12
Asia Muhammad,256,▽1,USA,27,208,24
Giulia Gatto-Monticone,257,△5,ITA,30,207,27
Risa Ozaki,258,△9,JPN,24,206,36
Marina Erakovic,259,▽2,NZL,30,206,14
Lucie Hradecka,260,▽2,CZE,32,205,11
Olga Saez Larra,261,▽2,ESP,23,205,29
Zoe Hives,262,▽1,AUS,21,204,16
Melanie Stokke,263,0,NOR,21,202,22
Fiona Ferro,264,0,FRA,21,201,21
Maria Sanchez,265,0,USA,28,201,23
Ganna Poznikhirenko,266,0,UKR,24,201,20
Anna Zaja,267,△4,GER,26,198,24
Emina Bektas,268,▽8,USA,25,198,22
Karman Thandi,269,▽1,IND,19,197,25
Dalma Galfi,270,▽1,HUN,19,196,23
Jaimee Fourlis,271,▽1,AUS,18,195,15
Na-Lae Han,272,△11,KOR,25,194,19
Alizé Lim,273,△3,FRA,27,192,25
Valeria Savinykh,274,0,RUS,27,191,26
Katarina Zavatska,275,▽2,UKR,18,190,18
Ashley Kratzer,276,△9,USA,19,188,22
Deniz Khazaniuk,277,▽37,ISR,23,186,23
Cristiana Ferrando,278,▽6,ITA,22,185,24
Fang Ying Xun,279,▽1,CHN,23,184,24
Ana Sofia Sánchez,280,▽1,MEX,24,183,23
Kristina Kucova,281,▽1,SVK,27,182,16
Diana Marcinkevica,282,▽1,LAT,25,182,28
Usue Maitane Arconada,283,▽40,USA,19,181,30
Chanel Simmonds,284,0,RSA,25,177,21
Jovana Jaksic,285,▽3,SRB,24,176,23
Katharina Hobgarski,286,▽9,GER,20,175,21
Camilla Rosatello,287,△3,ITA,22,174,21
Anastasia Grymalska,288,△5,ITA,27,172,31
Katherine Sebov,289,▽2,CAN,19,170,21
Greta Arn,290,△1,HUN,39,163,10
Kai-Chen Chang,291,△1,TPE,27,162,21
Quirine Lemoine,292,△3,NED,26,161,15
Tessah Andrianjafitrimo,293,△9,FRA,19,160,23
Victoria Rodriguez,294,▽6,MEX,23,158,24
Haruka Kaji,295,△6,JPN,23,157,21
Audrey Albie,296,▽2,FRA,23,156,19
Catalina Pella,297,0,ARG,25,156,24
Ksenia Lykina,298,△12,RUS,27,154,21
Julia Glushko,299,△1,ISR,28,154,24
Erika Sema,300,▽2,JPN,29,154,30
Mandy Minella,301,▽2,LUX,32,153,13
Mai Minokoshi,302,△34,JPN,26,153,32
Stefania Rubini,303,△9,ITA,25,153,27
Allie Kiick,304,△40,USA,22,151,19
Anastasia Zarycka,305,▽1,CZE,20,151,18
Jesika Maleckova,306,▽1,CZE,23,149,25
Marina Melnikova,307,▽1,RUS,29,148,19
Kimberley Zimmermann,308,▽1,BEL,22,148,29
Nigina Abduraimova,309,△4,UZB,23,147,14
Lina Gjorcheska,310,▽2,MKD,23,147,9
Sophie Chang,311,▽22,USA,20,147,21
Olga Doroshina,312,▽1,RUS,23,146,14
Mari Osaka,313,▽10,JPN,22,144,19
Nina Stojanovic,314,0,SRB,21,143,21
Katie Swan,315,▽19,GBR,19,142,20
Miriam Kolodziejova,316,△50,CZE,21,142,15
Ekaterine Gorgodze,317,▽1,GEO,26,142,23
Petra Krejsova,318,▽1,CZE,27,141,22
Ling Zhang,319,△5,HKG,28,140,24
Sara Cakarevic,320,▽1,FRA,21,139,24
Yuxuan Zhang,321,▽1,CHN,23,138,16
Miyabi Inoue,322,▽7,JPN,26,138,22
Marta Paigina,323,▽1,RUS,19,138,15
Kai-Lin Zhang,324,△3,CHN,28,137,19
Amra Sadikovic,325,▽2,SUI,28,137,23
Tena Lukas,326,▽8,CRO,22,137,22
Martina Di Giuseppe,327,▽6,ITA,27,137,25
Jelena Jankovic,328,▽3,SRB,33,134,10
Hanyu Guo,329,▽20,CHN,19,134,17
Aleksandra Wozniak,330,▽4,CAN,30,133,15
Manon Arcangioli,331,△8,FRA,23,132,32
Shuko Aoyama,332,▽4,JPN,30,132,17
Cristina Dinu,333,△10,ROU,25,131,24
Sofia Shapatava,334,△7,GEO,29,129,29
Kimberly Birrell,335,▽3,AUS,19,128,25
Nicoleta Dascalu,336,▽7,ROU,22,128,21
Agnes Bukta,337,▽4,HUN,24,128,25
Montserrat Gonzalez,338,▽4,PAR,23,127,24
Hiroko Kuwata,339,▽4,JPN,27,127,33
Amina Anshba,340,△2,RUS,18,127,21
Xiaodi You,341,△24,CHN,21,126,17
Robin Anderson,342,▽5,USA,25,126,17
Alla Kudryavtseva,343,▽5,RUS,30,125,20
Momoko Kobori,344,△3,JPN,19,125,20
Anna Morgina,345,▽5,RUS,26,124,20
Estrella Cabeza Candela,346,△4,ESP,31,124,15
Vivian Heisen,347,▽1,GER,24,122,15
Emiliana Arango,348,▽3,COL,17,121,12
Tammi Patterson,349,▽1,AUS,28,120,18
Despina Papamichail,350,△5,GRE,25,120,24
Katerina Stewart,351,△1,USA,20,119,14
Naiktha Bains,352,▽1,AUS,20,118,25
Alisa Kleybanova,353,0,RUS,28,118,8
Aliona Bolsova Zadoinov,354,△31,ESP,20,118,11
Sarah-Rebecca Sekulic,355,▽25,GER,25,118,22
Martina Caregaro,356,△4,ITA,25,118,27
Harmony Tan,357,▽3,FRA,20,117,27
Valeriya Strakhova,358,▽2,UKR,22,116,27
Rebecca Sramkova,359,▽1,SVK,21,114,9
Riko Sawayanagi,360,▽29,JPN,23,114,22
Alexandra Panova,361,▽2,RUS,29,114,12
Isabella Shinikova,362,▽1,BUL,26,113,32
Abigail Tere-Apisah,363,0,PNG,25,113,12
Fernanda Brito,364,▽7,CHI,26,113,17
Polina Leykina,365,△36,RUS,23,112,20
Marie Benoit,366,▽17,BEL,23,112,24
Tereza Mihalikova,367,0,SVK,19,112,28
Yaroslava Shvedova,368,0,KAZ,30,111,7
Gaia Sanesi,369,0,ITA,26,111,22
Anna-Lena Friedsam,370,0,GER,24,110,8
Federica Di Sarra,371,△1,ITA,27,108,16
Varatchaya Wongteanchai,372,▽10,THA,28,107,14
Maria Herazo Gonzalez,373,0,COL,21,107,14
Pemra Ozgen,374,0,TUR,31,107,23
Monika Kilnarova,375,△5,CZE,18,107,22
Anastasiya Vasylyeva,376,△16,UKR,26,105,23
Yana Sizikova,377,▽1,RUS,23,105,23
Anastasia Frolova,378,▽1,RUS,23,105,16
Andreea Rosca,379,▽1,ROU,19,105,15
Katarzyna Piter,380,▽1,POL,27,104,25
Nastja Kolar,381,0,SLO,23,104,22
Ana Veselinovic,382,▽7,MNE,30,104,23
Gabriela Dabrowski,383,▽19,CAN,26,103,14
Jessica Pegula,384,▽2,USA,24,102,14
Raluca Serban,385,▽2,ROU,20,102,18
Sandra Samir,386,△11,EGY,20,100,23
Panna Udvardy,387,▽16,HUN,19,99,24
Chihiro Muramatsu,388,0,JPN,19,99,24
Chieh-Yu Hsu,389,△13,TPE,26,99,28
Sara Tomic,390,▽1,AUS,20,98,15
Shilin Xu,391,▽1,CHN,20,98,20
Maria Mateas,392,△20,USA,18,98,19
Olivia Tjandramulia,393,△1,AUS,20,97,27
Katharina Gerlach,394,▽3,GER,20,97,18
Astra Sharma,395,0,AUS,22,97,13
Gozal Ainitdinova,396,△15,KAZ,19,97,20
Yvonne Cavalle-Reimers,397,△10,ESP,25,97,22
Natalija Kostic,398,0,SRB,23,97,24
Cornelia Lister,399,0,SWE,23,96,18
Kyoka Okamura,400,▽13,JPN,22,96,25
Shiho Akita,401,▽8,JPN,28,96,16
Nadia Podoroska,402,△1,ARG,21,94,11
Jiaqi Kang,403,▽17,CHN,20,94,23
Akgul Amanmuradova,404,0,UZB,33,94,17
Alexa Guarachi,405,0,CHI,27,93,18
Jennifer Elie,406,▽22,USA,31,93,22
Xuliu Sun,407,▽1,CHN,24,93,23
Misa Eguchi,408,0,JPN,26,92,19
Cindy Burger,409,0,NED,25,92,19
Marine Partaud,410,△47,FRA,23,92,19
Dea Herdzelas,411,▽1,BIH,21,92,20
Giuliana Olmos,412,▽12,MEX,25,91,17
Tamaryn Hendler,413,△20,BEL,25,90,10
